Date,ID,URL,Content,User,Reply Count,Retweet Count,Language,Source,Like Count
2023-02-18 19:12:45+00:00,1627023330120470529,https://twitter.com/sona2490/status/1627023330120470529,"Iski baat sun k to shiv ji bhi tension me rehte honge ye kon sa Nasha karta hai, mujhe ajj tak nahi mila....",sona2490,0,0,hi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
2023-02-18 19:12:43+00:00,1627023325045358592,https://twitter.com/SajwaniShamim/status/1627023325045358592,Ek mint ke liye bb ki yad agai shalin ab kia ko shiv ki complain karega https://t.co/zpZBNcz2xc,SajwaniShamim,0,0,hi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
2023-02-18 19:12:38+00:00,1627023303834587136,https://twitter.com/shivoyboy/status/1627023303834587136,@DoFromDC @RichVegas777 @wshingtontoday theyre all white lol,shivoyboy,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
2023-02-18 19:12:35+00:00,1627023291214090240,https://twitter.com/quirky_mee/status/1627023291214090240,@MulgaaMarathi 🤣🤣 jalte raho or baat banate raho cuz #ShivRit to chaya hua h.. Aapki baat kyu sunega shiv🤣,quirky_mee,0,0,hi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
2023-02-18 19:12:32+00:00,1627023278119297024,https://twitter.com/vijLotika/status/1627023278119297024,"Maybe aap log soch rahe honge ki kal toh meine kaha tha ki mera BP high hai n doctor told me to rest BP abhi bhi high hi hai per khud ko Shiv se related trend mai part lene se rok nahi pa rahi huin 

MAHADEV BLESS YOU SHIV
#ShivKiSena 
#ShivThakare 
@ShivThakare9",vijLotika,0,0,et,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
2023-02-18 19:12:31+00:00,1627023271106605056,https://twitter.com/mahaleurmila5/status/1627023271106605056,@SrishtiS28 Thank u bro ☺️❤️🧿,mahaleurmila5,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0
2023-02-18 19:12:28+00:00,1627023261921058821,https://twitter.com/PreetiS40700029/status/1627023261921058821,"@RohitashwT Everyone is allowed to have their own way. I don’t think lord shiv came and told you how it is done. If someone wants to do pvt they will , if someone wants to celebrate they can. What Shivratri is def not is a place of judgment of way of worship in any way.",PreetiS40700029,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0
2023-02-18 19:12:27+00:00,1627023257760321542,https://twitter.com/awesome8somnath/status/1627023257760321542,"Shiv Sama Rahe Mujhme
Aur main shunya ho raha hun #ShivaShivaAllNight",awesome8somnath,0,0,hi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
2023-02-18 19:12:26+00:00,1627023249858256896,https://twitter.com/SHIVPRA23370566/status/1627023249858256896,"@RaviSis48297494 @BBCHindi School fees par bhi GST hai , besharam dhang ke sarkari school nahi banayenge par gst lagayenge",SHIVPRA23370566,0,0,hi,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0
2023-02-18 19:12:25+00:00,1627023246653796352,https://twitter.com/pmoshiva/status/1627023246653796352,"@epanchjanya जँहा जँहा भाजपा हैं उस राज्य मे मुस्लमान ज्यादा तादाद मे बसते है,मस्जिद मजार बना लेते हैं,भाजपा बाले हिन्दू हिन्दू चिल्लाते रहते हैं,मोदी का टारगेट है भारत को मुश्लिम राष्ट्र 25 साल मे बना देने का! @narendramodi @PMOIndia @BJP4India @AmitShah @JPNadda @pushkardhami @RSSorg",pmoshiva,0,0,hi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
2023-02-18 19:12:24+00:00,1627023244091064321,https://twitter.com/ShivAdi89/status/1627023244091064321,@apnadheklo Kavyaaaaaa Good Night yr 💗😇,ShivAdi89,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
2023-02-18 19:12:13+00:00,1627023196707860481,https://twitter.com/ShivG_/status/1627023196707860481,"When you're procrastinating, remember this:

The person you want to be would do it.",ShivG_,0,0,en,"<a href=""https://hypefury.com"" rel=""nofollow"">Hypefury</a>",0
2023-02-18 19:12:07+00:00,1627023171273756672,https://twitter.com/maanosys/status/1627023171273756672,"Happy Maha Shiv Ratri | One night with lord shiva
The night of Goddess Parvathi and Shiva’s union, also known as Maha Shivratri, is a night of both creation and destruction.
.
.
Visit : https://t.co/TQphausov0
Call us : +91-966 779 3008
Email us : info@maanosys.com https://t.co/XWVSO3GGse",maanosys,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0
2023-02-18 19:12:07+00:00,1627023171202473985,https://twitter.com/BhalchandraPar8/status/1627023171202473985,"@TandonRaveena 🙏🙏Amen Mam. Jai shiv shankar. Mam, without make up u look dull same like @clubmahindra . We all need to bring back shine to @MahindraRise , Sir @anandmahindra @anishshah21 @singhkavinder plz join. Mam, did u saw newly launch snakes at resorts ?? God is great , thanks 🙏🙏🙏🙏",BhalchandraPar8,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
2023-02-18 19:12:00+00:00,1627023141909430273,https://twitter.com/Priyank88775808/status/1627023141909430273,Manadali toh stan shiv abdu sajid ki thi 🙁 actually feeling weird sajid stan shiv abdu best yaar stan sajid ab nahi mil rahe #shivthakare,Priyank88775808,0,0,in,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0
2023-02-18 19:11:51+00:00,1627023103741272064,https://twitter.com/ShivAdi89/status/1627023103741272064,"@MourBnaDugge Pihu nii pata yrr Ye toh ek he jn bata sakta 

@sillyboy_inlove batao 👀😂",ShivAdi89,0,0,tl,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
2023-02-18 19:11:48+00:00,1627023091464572930,https://twitter.com/priyaranjanltcp/status/1627023091464572930,"Bhau full masti mode with Sree, Nimrit and Sumbul...
WE LOVE SHIV FOREVER

#ShivThakare
#ShivRit
#ShivJita
#ShivSum

https://t.co/GKE03bmNsy",priyaranjanltcp,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1
2023-02-18 19:11:46+00:00,1627023085202477056,https://twitter.com/DratanRatnakar/status/1627023085202477056,@_Shiv_Bhakt हर हर महादेव 🙏,DratanRatnakar,0,0,hi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1
2023-02-18 19:11:45+00:00,1627023077812076552,https://twitter.com/urstrulyManan/status/1627023077812076552,#AskSadhguru Does AdiYogi Shiv want to say something to us @SadhguruJV🙏 @ishafoundation,urstrulyManan,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
